Date,Region,Type,Units,Sales
25-12-2020,East,Children's Clothing,25,475
19-11-2020,East,Women's Clothing,8,256
12-05-2020,East,Women's Clothing,29,812
02-06-2020,East,Men's Clothing,14,224
14-05-2020,North,Women's Clothing,5,160
03-08-2020,East,Children's Clothing,33,462
26-11-2020,East,Women's Clothing,22,440
01-01-2020,East,Men's Clothing,18,234
14-04-2020,East,Children's Clothing,12,264
05-11-2020,North,Children's Clothing,31,434
30-07-2020,North,Children's Clothing,10,210
18-09-2020,West,Men's Clothing,22,440
13-11-2020,East,Children's Clothing,3,72
21-07-2020,North,Men's Clothing,NaN,665
04-03-2020,East,Women's Clothing,4,116
23-07-2020,North,Children's Clothing,31,620
13-12-2020,South,Women's Clothing,26,416
19-04-2020,East,Women's Clothing,24,672
05-09-2020,East,Children's Clothing,34,1020
07-05-2020,East,Women's Clothing,5,100
28-09-2020,East,Men's Clothing,16,480
25-03-2020,North,Men's Clothing,NaN,928
16-03-2020,East,Children's Clothing,25,525
17-10-2020,East,Children's Clothing,29,377
20-05-2020,West,Women's Clothing,13,416
04-02-2020,East,Men's Clothing,25,700
10-08-2020,East,Women's Clothing,11,143
05-08-2020,East,Children's Clothing,28,336
25-09-2020,North,Children's Clothing,33,1023
29-03-2020,South,Men's Clothing,18,216
21-01-2020,North,Children's Clothing,24,408
07-11-2020,North,Women's Clothing,4,116
29-05-2020,East,Women's Clothing,10,270
15-09-2020,East,Men's Clothing,26,728
28-12-2020,East,Children's Clothing,3,78
23-02-2020,South,Men's Clothing,24,624
28-07-2020,North,Children's Clothing,19,285
27-04-2020,West,Children's Clothing,25,600
28-09-2020,South,Men's Clothing,21,609
27-11-2020,West,Children's Clothing,28,700
04-05-2020,North,Women's Clothing,19,247
20-07-2020,West,Men's Clothing,27,324
05-02-2020,West,Children's Clothing,27,297
06-12-2020,East,Children's Clothing,27,702
18-07-2020,North,Men's Clothing,NaN,350
30-04-2020,North,Women's Clothing,21,525
10-10-2020,West,Women's Clothing,8,232
28-11-2020,North,Women's Clothing,29,580
03-02-2020,West,Men's Clothing,26,416
03-02-2020,East,Men's Clothing,15,720
04-09-2020,North,Children's Clothing,3,184
07-01-2020,West,Women's Clothing,3,350
01-04-2020,West,Children's Clothing,13,240
28-11-2020,North,Children's Clothing,11,170
14-12-2020,North,Women's Clothing,7,418
17-05-2020,West,Women's Clothing,29,154
10-01-2020,East,Women's Clothing,19,52
12-02-2020,East,Women's Clothing,3,330
18-06-2020,East,Children's Clothing,28,162
09-06-2020,North,Women's Clothing,26,644
13-07-2020,North,Children's Clothing,34,575
12-09-2020,North,Men's Clothing,NaN,529
15-04-2020,East,Children's Clothing,31,520
11-07-2020,West,Women's Clothing,4,459
17-05-2020,South,Women's Clothing,17,90
10-04-2020,East,Men's Clothing,14,420
27-05-2020,East,Women's Clothing,26,63
09-06-2020,East,Men's Clothing,30,640
01-06-2020,North,Women's Clothing,27,495
15-04-2020,East,Women's Clothing,17,84
08-02-2020,South,Men's Clothing,28,512
13-06-2020,East,Children's Clothing,30,336
10-02-2020,North,Women's Clothing,31,480
17-01-2020,East,Men's Clothing,14,36
30-05-2020,North,Women's Clothing,16,99
29-07-2020,East,Women's Clothing,34,416
01-12-2020,West,Children's Clothing,24,187
08-12-2020,East,Women's Clothing,17,126
30-01-2020,East,Children's Clothing,18,435
08-06-2020,North,Men's Clothing,NaN,437
02-03-2020,East,Children's Clothing,31,36
15-04-2020,East,Men's Clothing,34,364
13-07-2020,East,Men's Clothing,26,598
26-10-2020,South,Children's Clothing,30,408
02-05-2020,South,Women's Clothing,4,363
03-07-2020,East,Women's Clothing,13,341
21-06-2020,East,Children's Clothing,32,108
26-10-2020,East,Women's Clothing,4,442
22-01-2020,East,Women's Clothing,23,308
22-02-2020,North,Children's Clothing,3,416
30-06-2020,North,Children's Clothing,6,690
12-07-2020,South,Women's Clothing,26,729
03-06-2020,South,Men's Clothing,23,357
23-12-2020,North,Men's Clothing,NaN,476
28-08-2020,North,Women's Clothing,20,630
28-03-2020,East,Children's Clothing,17,558
31-07-2020,East,Men's Clothing,22,252
17-12-2020,North,Women's Clothing,26,336
26-02-2020,East,Men's Clothing,15,680
31-10-2020,South,Children's Clothing,32,504
16-05-2020,East,Women's Clothing,24,238
16-02-2020,North,Women's Clothing,14,378
30-12-2020,West,Women's Clothing,24,704
15-10-2020,North,Children's Clothing,11,1023
27-10-2020,North,Children's Clothing,16,816
26-11-2020,North,Children's Clothing,6,728
26-08-2020,North,Men's Clothing,NaN,720
31-05-2020,East,Women's Clothing,3,124
14-08-2020,East,Women's Clothing,22,390
11-04-2020,South,Women's Clothing,30,640
25-05-2020,North,Women's Clothing,23,56
25-03-2020,East,Women's Clothing,13,713
12-10-2020,North,Children's Clothing,25,72
03-01-2020,North,Men's Clothing,NaN,78
10-09-2020,East,Women's Clothing,15,650
12-02-2020,South,Women's Clothing,34,759
20-06-2020,East,Women's Clothing,23,1054
21-07-2020,North,Women's Clothing,19,280
15-03-2020,East,Women's Clothing,27,459
30-09-2020,South,Women's Clothing,12,396
30-06-2020,South,Children's Clothing,30,572
16-03-2020,South,Women's Clothing,22,315
05-08-2020,West,Children's Clothing,32,640
19-08-2020,South,Women's Clothing,28,696
13-09-2020,South,Women's Clothing,29,392
21-05-2020,North,Children's Clothing,31,480
06-09-2020,North,Children's Clothing,7,121
28-08-2020,South,Women's Clothing,7,192
22-11-2020,North,Women's Clothing,18,144
26-09-2020,East,Women's Clothing,23,264
28-07-2020,East,Women's Clothing,21,78
05-07-2020,East,Children's Clothing,5,418
18-09-2020,East,Men's Clothing,13,810
04-07-2020,North,Women's Clothing,11,529
03-08-2020,West,Women's Clothing,29,260
16-10-2020,East,Children's Clothing,30,475
28-07-2020,East,Women's Clothing,20,255
14-01-2020,East,Women's Clothing,4,375
28-05-2020,South,Women's Clothing,13,1122
22-03-2020,North,Women's Clothing,15,575
08-02-2020,East,Women's Clothing,33,513
26-05-2020,West,Men's Clothing,23,432
21-01-2020,West,Men's Clothing,13,192
04-11-2020,East,Women's Clothing,25,930
08-02-2020,North,Women's Clothing,17,308
15-01-2020,East,Women's Clothing,21,768
08-05-2020,East,Children's Clothing,29,364
06-06-2020,North,Women's Clothing,12,928
05-04-2020,North,Children's Clothing,29,775
22-09-2020,West,Women's Clothing,28,224
21-03-2020,East,Women's Clothing,16,161
15-12-2020,East,Children's Clothing,19,450
18-04-2020,East,Women's Clothing,6,759
14-12-2020,East,Men's Clothing,13,294
14-12-2020,East,Children's Clothing,35,125
01-10-2020,North,Men's Clothing,NaN,195
17-01-2020,East,Children's Clothing,18,220
22-07-2020,North,Children's Clothing,34,348
02-11-2020,West,Children's Clothing,19,660
22-09-2020,North,Women's Clothing,9,520
02-03-2020,West,Men's Clothing,32,56
01-10-2020,West,Children's Clothing,26,325
30-07-2020,East,Women's Clothing,14,180
07-04-2020,West,Children's Clothing,22,990
03-08-2020,East,Women's Clothing,11,460
03-11-2020,South,Men's Clothing,3,351
25-09-2020,East,Children's Clothing,18,800
15-10-2020,South,Women's Clothing,22,527
13-12-2020,North,Men's Clothing,NaN,525
04-07-2020,South,Children's Clothing,33,348
26-05-2020,North,Women's Clothing,11,336
27-03-2020,West,Children's Clothing,7,638
31-10-2020,North,Children's Clothing,6,504
21-02-2020,East,Children's Clothing,14,400
17-05-2020,South,Men's Clothing,24,266
15-05-2020,East,Children's Clothing,9,120
10-05-2020,East,Women's Clothing,7,260
15-08-2020,East,Children's Clothing,27,595
28-10-2020,East,Men's Clothing,18,391
26-05-2020,East,Men's Clothing,33,486
26-05-2020,North,Women's Clothing,10,782
27-08-2020,South,Children's Clothing,23,494
15-10-2020,South,Children's Clothing,21,117
31-01-2020,West,Children's Clothing,9,768
22-04-2020,East,Women's Clothing,22,806
01-01-2020,East,Women's Clothing,12,322
08-01-2020,West,Women's Clothing,30,440
13-11-2020,West,Men's Clothing,26,297
14-09-2020,North,Women's Clothing,13,72
12-09-2020,West,Children's Clothing,16,288
08-11-2020,East,Women's Clothing,18,352
23-05-2020,East,Men's Clothing,34,204
17-11-2020,West,Children's Clothing,23,990
14-06-2020,West,Children's Clothing,7,264
08-08-2020,North,Women's Clothing,17,168
03-12-2020,North,Women's Clothing,31,162
31-10-2020,West,Women's Clothing,33,196
16-07-2020,West,Children's Clothing,8,288
14-11-2020,North,Men's Clothing,NaN,189
22-09-2020,North,Women's Clothing,29,98
12-03-2020,East,Women's Clothing,20,810
26-04-2020,East,Men's Clothing,21,342
30-07-2020,North,Children's Clothing,34,990
13-10-2020,North,Men's Clothing,NaN,280
14-03-2020,North,Women's Clothing,3,552
01-05-2020,West,Men's Clothing,29,252
06-05-2020,East,Men's Clothing,13,252
29-01-2020,East,Men's Clothing,10,440
03-01-2020,South,Children's Clothing,26,324
03-08-2020,North,Men's Clothing,NaN,690
28-03-2020,West,Children's Clothing,10,286
24-12-2020,North,Children's Clothing,7,403
05-03-2020,West,Children's Clothing,6,176
23-04-2020,East,Women's Clothing,14,360
25-08-2020,East,Children's Clothing,18,544
23-09-2020,East,Women's Clothing,25,736
09-12-2020,East,Women's Clothing,26,140
10-07-2020,East,Women's Clothing,15,391
31-08-2020,North,Women's Clothing,7,589
29-01-2020,North,Men's Clothing,NaN,891
09-07-2020,South,Men's Clothing,21,128
17-01-2020,South,Women's Clothing,12,208
23-03-2020,South,Men's Clothing,29,522
26-10-2020,East,Men's Clothing,9,440
21-08-2020,North,Men's Clothing,NaN,231
11-09-2020,North,Women's Clothing,5,1122
25-02-2020,East,Men's Clothing,3,330
28-04-2020,North,Children's Clothing,34,99
01-10-2020,West,Children's Clothing,5,493
27-05-2020,East,Men's Clothing,18,403
21-03-2020,East,Children's Clothing,33,310
01-07-2020,South,Women's Clothing,22,468
28-12-2020,North,Men's Clothing,NaN,594
02-05-2020,East,Children's Clothing,7,270
02-05-2020,East,Women's Clothing,4,105
29-02-2020,East,Men's Clothing,15,150
28-10-2020,East,Men's Clothing,7,182
17-01-2020,East,Women's Clothing,15,360
16-06-2020,North,Men's Clothing,NaN,350
13-12-2020,East,Men's Clothing,11,546
14-10-2020,East,Children's Clothing,17,225
02-05-2020,North,Children's Clothing,28,182
12-02-2020,South,Children's Clothing,25,408
18-06-2020,North,Men's Clothing,NaN,546
28-04-2020,East,Men's Clothing,29,384
05-09-2020,North,Children's Clothing,35,319
19-12-2020,East,Men's Clothing,6,171
30-05-2020,South,Men's Clothing,9,143
23-06-2020,East,Men's Clothing,21,145
29-01-2020,East,Men's Clothing,5,60
20-12-2020,North,Women's Clothing,29,748
03-12-2020,East,Women's Clothing,30,95
03-04-2020,South,Women's Clothing,23,360
18-11-2020,East,Children's Clothing,8,990
16-12-2020,West,Men's Clothing,26,418
03-05-2020,North,Women's Clothing,13,310
01-11-2020,North,Men's Clothing,NaN,203
25-07-2020,East,Women's Clothing,33,112
10-03-2020,North,Women's Clothing,31,225
20-05-2020,North,Children's Clothing,27,161
01-03-2020,West,Men's Clothing,8,345
21-01-2020,East,Children's Clothing,3,870
04-01-2020,East,Men's Clothing,23,330
26-08-2020,North,Men's Clothing,NaN,306
20-02-2020,North,Men's Clothing,NaN,728
21-03-2020,East,Women's Clothing,35,625
19-05-2020,East,Men's Clothing,6,700
17-12-2020,East,Women's Clothing,8,522
04-02-2020,East,Children's Clothing,7,385
11-06-2020,North,Women's Clothing,17,156
31-10-2020,South,Children's Clothing,29,144
12-06-2020,West,Children's Clothing,3,567
16-07-2020,South,Women's Clothing,30,55
26-02-2020,East,Women's Clothing,14,493
04-02-2020,North,Women's Clothing,26,660
24-06-2020,East,Children's Clothing,30,644
21-07-2020,East,Women's Clothing,5,240
13-05-2020,South,Children's Clothing,33,520
08-02-2020,North,Men's Clothing,NaN,156
08-09-2020,East,Women's Clothing,3,676
25-06-2020,East,Women's Clothing,15,495
17-07-2020,North,Children's Clothing,27,837
29-03-2020,West,Children's Clothing,12,756
01-04-2020,South,Children's Clothing,12,176
26-12-2020,East,Men's Clothing,3,48
31-05-2020,East,Men's Clothing,27,506
03-08-2020,East,Children's Clothing,7,324
17-07-2020,North,Men's Clothing,NaN,726
14-02-2020,West,Children's Clothing,30,910
20-08-2020,North,Women's Clothing,3,84
08-12-2020,North,Men's Clothing,NaN,208
15-11-2020,South,Women's Clothing,31,98
20-06-2020,East,Women's Clothing,10,527
24-11-2020,East,Children's Clothing,13,319
17-05-2020,East,Men's Clothing,25,42
28-03-2020,East,Men's Clothing,5,840
24-02-2020,East,Children's Clothing,11,154
08-06-2020,East,Women's Clothing,27,754
07-10-2020,East,Men's Clothing,23,990
09-01-2020,South,Women's Clothing,28,105
30-05-2020,East,Women's Clothing,5,858
06-02-2020,West,Women's Clothing,8,196
02-03-2020,East,Men's Clothing,19,63
04-03-2020,East,Women's Clothing,18,495
29-06-2020,East,Men's Clothing,13,729
23-11-2020,East,Women's Clothing,20,132
20-04-2020,North,Women's Clothing,3,336
11-10-2020,South,Children's Clothing,18,51
27-01-2020,North,Women's Clothing,10,729
20-03-2020,East,Children's Clothing,12,91
22-07-2020,East,Women's Clothing,18,200
06-12-2020,East,Women's Clothing,31,600
14-06-2020,East,Children's Clothing,25,90
21-07-2020,East,Women's Clothing,28,418
04-03-2020,East,Women's Clothing,28,682
20-01-2020,North,Women's Clothing,26,250
19-11-2020,West,Men's Clothing,18,299
01-02-2020,North,Women's Clothing,26,525
17-12-2020,East,Women's Clothing,16,100
03-04-2020,East,Women's Clothing,5,352
22-02-2020,East,Children's Clothing,30,378
22-08-2020,East,Children's Clothing,32,437
12-12-2020,East,Children's Clothing,30,560
08-04-2020,North,Men's Clothing,NaN,145
13-02-2020,North,Children's Clothing,15,200
06-06-2020,East,Children's Clothing,16,570
30-01-2020,East,Women's Clothing,25,324
07-06-2020,South,Children's Clothing,35,247
03-10-2020,West,Men's Clothing,10,280
17-12-2020,South,Men's Clothing,31,81
08-01-2020,South,Men's Clothing,34,486
13-05-2020,East,Children's Clothing,21,140
07-03-2020,North,Men's Clothing,NaN,336
16-12-2020,South,Women's Clothing,5,360
28-01-2020,North,Men's Clothing,NaN,465
17-10-2020,East,Women's Clothing,23,525
09-07-2020,South,Men's Clothing,15,924
02-12-2020,East,Children's Clothing,19,756
29-09-2020,North,Women's Clothing,26,832
12-02-2020,North,Women's Clothing,29,522
12-11-2020,East,Men's Clothing,26,624
15-02-2020,East,Men's Clothing,20,448
24-02-2020,North,Women's Clothing,7,115
18-10-2020,North,Women's Clothing,16,840
21-12-2020,North,Women's Clothing,11,1056
07-06-2020,East,Men's Clothing,33,840
28-02-2020,East,Men's Clothing,34,39
05-10-2020,East,Men's Clothing,8,270
21-05-2020,North,Men's Clothing,NaN,288
11-06-2020,South,Men's Clothing,9,700
26-04-2020,North,Children's Clothing,35,490
09-06-2020,East,Men's Clothing,30,330
08-04-2020,North,Women's Clothing,9,372
08-01-2020,North,Women's Clothing,18,1054
07-10-2020,North,Women's Clothing,30,462
23-01-2020,North,Men's Clothing,NaN,87
17-12-2020,East,Women's Clothing,26,60
22-07-2020,East,Men's Clothing,26,500
11-03-2020,East,Women's Clothing,12,713
09-11-2020,East,Men's Clothing,21,495
15-01-2020,East,Men's Clothing,31,266
20-08-2020,North,Children's Clothing,16,416
08-04-2020,North,Women's Clothing,18,638
17-10-2020,West,Women's Clothing,14,806
17-06-2020,East,Women's Clothing,13,420
23-02-2020,East,Men's Clothing,8,91
22-06-2020,East,Men's Clothing,14,400
17-01-2020,North,Women's Clothing,33,319
27-05-2020,East,Women's Clothing,16,594
29-06-2020,East,Women's Clothing,11,748
18-01-2020,North,Men's Clothing,NaN,216
31-12-2020,East,Women's Clothing,35,112
13-01-2020,North,Children's Clothing,27,99
14-05-2020,North,Children's Clothing,8,1015
02-05-2020,North,Men's Clothing,NaN,450
22-09-2020,East,Children's Clothing,27,216
14-08-2020,East,Children's Clothing,16,216
06-02-2020,South,Women's Clothing,29,630
23-04-2020,East,Children's Clothing,31,364
11-09-2020,South,Children's Clothing,15,832
09-02-2020,South,Women's Clothing,8,754
30-11-2020,East,Women's Clothing,6,288
18-05-2020,West,Children's Clothing,21,588
17-11-2020,East,Women's Clothing,15,868
23-02-2020,East,Men's Clothing,27,400
25-05-2020,East,Children's Clothing,12,198
11-10-2020,North,Women's Clothing,5,168
16-08-2020,East,Children's Clothing,9,338
09-10-2020,East,Men's Clothing,30,232
17-12-2020,North,Children's Clothing,30,364
09-10-2020,East,Women's Clothing,28,429
13-08-2020,North,Women's Clothing,20,208
09-09-2020,East,Women's Clothing,23,209
19-02-2020,North,Women's Clothing,33,168
20-04-2020,North,Children's Clothing,32,595
18-05-2020,South,Children's Clothing,4,729
04-02-2020,West,Men's Clothing,27,168
02-02-2020,West,Women's Clothing,32,558
23-02-2020,East,Women's Clothing,16,567
13-01-2020,East,Women's Clothing,12,272
27-12-2020,North,Men's Clothing,NaN,493
07-09-2020,East,Men's Clothing,4,961
16-01-2020,East,Children's Clothing,15,165
18-10-2020,East,Men's Clothing,23,128
22-11-2020,East,Women's Clothing,19,132
31-05-2020,East,Women's Clothing,21,315
02-04-2020,East,Women's Clothing,33,240
05-01-2020,West,Women's Clothing,30,540
10-07-2020,North,Children's Clothing,14,264
13-02-2020,East,Children's Clothing,27,110
24-09-2020,East,Women's Clothing,7,117
17-10-2020,West,Men's Clothing,9,900
23-11-2020,North,Men's Clothing,NaN,630
25-06-2020,East,Men's Clothing,27,868
10-03-2020,East,Children's Clothing,34,300
20-03-2020,East,Children's Clothing,11,299
07-09-2020,West,Women's Clothing,32,825
17-09-2020,North,Children's Clothing,13,960
25-01-2020,North,Men's Clothing,NaN,76
26-06-2020,East,Men's Clothing,6,702
09-01-2020,East,Men's Clothing,25,352
11-06-2020,North,Women's Clothing,23,496
21-02-2020,East,Women's Clothing,29,288
25-11-2020,West,Women's Clothing,31,612
31-05-2020,East,Children's Clothing,35,120
12-08-2020,East,Men's Clothing,31,405
02-06-2020,South,Women's Clothing,30,552
22-05-2020,West,Women's Clothing,20,437
14-06-2020,East,Women's Clothing,33,609
04-10-2020,South,Children's Clothing,33,891
13-05-2020,North,Men's Clothing,NaN,900
26-03-2020,East,Children's Clothing,33,336
20-06-2020,East,Men's Clothing,11,729
29-12-2020,East,Women's Clothing,17,154
23-07-2020,North,Women's Clothing,4,216
02-05-2020,North,Children's Clothing,15,198
08-12-2020,East,Women's Clothing,19,513
04-11-2020,East,Children's Clothing,31,918
02-10-2020,East,Women's Clothing,19,231
05-01-2020,North,Women's Clothing,18,960
17-05-2020,East,Men's Clothing,25,312
10-10-2020,North,Women's Clothing,4,84
09-06-2020,North,Children's Clothing,7,192
28-12-2020,North,Men's Clothing,NaN,825
13-04-2020,North,Women's Clothing,26,713
25-01-2020,North,Women's Clothing,5,957
10-12-2020,North,Children's Clothing,5,558
11-10-2020,East,Children's Clothing,7,1015
06-05-2020,East,Women's Clothing,9,837
14-05-2020,West,Men's Clothing,33,840
17-05-2020,West,Men's Clothing,35,520
08-03-2020,East,Men's Clothing,33,561
13-09-2020,North,Children's Clothing,30,429
07-03-2020,East,Women's Clothing,32,360
18-07-2020,East,Children's Clothing,9,462
06-05-2020,West,Children's Clothing,27,330
13-04-2020,East,Women's Clothing,18,391
24-09-2020,East,Children's Clothing,30,112
29-03-2020,South,Men's Clothing,19,375
16-01-2020,West,Women's Clothing,12,304
03-02-2020,North,Women's Clothing,15,961
25-07-2020,North,Women's Clothing,16,475
14-10-2020,East,Women's Clothing,12,378
21-02-2020,North,Men's Clothing,NaN,550
30-04-2020,East,Women's Clothing,9,68
04-04-2020,East,Children's Clothing,25,224
06-11-2020,North,Women's Clothing,22,325
21-04-2020,East,Women's Clothing,16,806
08-09-2020,North,Children's Clothing,19,55
25-06-2020,East,Men's Clothing,7,165
27-10-2020,East,Men's Clothing,25,168
03-06-2020,South,Men's Clothing,22,207
09-03-2020,East,Men's Clothing,14,726
04-09-2020,South,Men's Clothing,34,1085
06-10-2020,West,Men's Clothing,3,462
23-04-2020,South,Women's Clothing,29,450
19-12-2020,West,Women's Clothing,9,800
06-10-2020,East,Children's Clothing,11,162
19-08-2020,East,Women's Clothing,30,648
07-08-2020,East,Women's Clothing,3,450
02-07-2020,North,Women's Clothing,14,330
26-02-2020,North,Women's Clothing,23,266
13-12-2020,East,Men's Clothing,17,204
19-07-2020,East,Women's Clothing,5,315
14-06-2020,North,Children's Clothing,6,208
02-01-2020,East,Children's Clothing,18,204
07-10-2020,West,Women's Clothing,13,126
11-02-2020,West,Children's Clothing,16,297
08-07-2020,East,Children's Clothing,29,575
26-08-2020,North,Women's Clothing,24,308
17-12-2020,East,Men's Clothing,35,432
31-03-2020,South,Men's Clothing,21,323
21-08-2020,North,Women's Clothing,25,77
12-06-2020,West,Women's Clothing,29,450
05-04-2020,North,Children's Clothing,30,418
29-02-2020,South,Women's Clothing,10,434
20-09-2020,North,Women's Clothing,22,782
23-11-2020,East,Women's Clothing,25,93
07-11-2020,East,Men's Clothing,20,754
16-04-2020,South,Women's Clothing,33,180
20-07-2020,East,Men's Clothing,6,187
03-01-2020,South,Women's Clothing,13,750
25-09-2020,North,Women's Clothing,3,87
17-10-2020,North,Women's Clothing,17,406
03-02-2020,East,Women's Clothing,18,575
18-09-2020,East,Women's Clothing,34,255
21-05-2020,North,Women's Clothing,35,135
06-08-2020,East,Women's Clothing,32,66
08-11-2020,East,Women's Clothing,28,252
15-01-2020,South,Women's Clothing,13,429
23-12-2020,North,Women's Clothing,20,528
29-12-2020,North,Children's Clothing,4,493
02-09-2020,East,Women's Clothing,33,336
01-11-2020,South,Men's Clothing,10,455
23-03-2020,West,Women's Clothing,20,693
27-03-2020,South,Men's Clothing,11,300
20-08-2020,West,Women's Clothing,31,899
20-04-2020,North,Men's Clothing,NaN,570
14-10-2020,North,Men's Clothing,NaN,240
21-03-2020,East,Men's Clothing,35,352
31-08-2020,East,Women's Clothing,5,300
15-02-2020,North,Women's Clothing,4,380
30-11-2020,West,Men's Clothing,10,561
04-10-2020,South,Children's Clothing,4,186
16-09-2020,North,Men's Clothing,NaN,312
09-04-2020,North,Women's Clothing,3,42
06-11-2020,East,Women's Clothing,23,561
31-05-2020,North,Women's Clothing,28,306
15-04-2020,North,Children's Clothing,35,374
03-06-2020,East,Women's Clothing,18,560
24-02-2020,South,Men's Clothing,8,1056
31-05-2020,East,Women's Clothing,30,700
23-12-2020,East,Women's Clothing,22,208
02-02-2020,West,Women's Clothing,7,280
30-08-2020,South,Women's Clothing,11,100
25-09-2020,West,Women's Clothing,26,1023
24-09-2020,East,Children's Clothing,25,310
28-02-2020,North,Women's Clothing,14,420
23-01-2020,North,Men's Clothing,NaN,231
18-08-2020,South,Women's Clothing,20,341
10-03-2020,East,Children's Clothing,15,342
22-10-2020,West,Men's Clothing,5,143
10-09-2020,West,Women's Clothing,4,525
23-04-2020,East,Women's Clothing,26,110
15-06-2020,East,Women's Clothing,28,84
23-07-2020,South,Women's Clothing,20,330
31-12-2020,West,Women's Clothing,27,52
03-01-2020,North,Men's Clothing,NaN,240
24-07-2020,South,Children's Clothing,33,48
16-05-2020,South,Children's Clothing,28,529
01-10-2020,South,Men's Clothing,4,728
01-11-2020,East,Women's Clothing,7,945
11-07-2020,North,Women's Clothing,22,270
28-08-2020,East,Men's Clothing,8,208
03-07-2020,East,Children's Clothing,22,390
16-11-2020,North,Men's Clothing,NaN,616
01-09-2020,South,Men's Clothing,11,175
27-02-2020,East,Men's Clothing,8,220
23-07-2020,East,Women's Clothing,28,780
05-11-2020,East,Children's Clothing,26,325
22-11-2020,South,Children's Clothing,28,182
27-06-2020,East,Women's Clothing,26,312
25-03-2020,South,Women's Clothing,4,640
21-07-2020,North,Men's Clothing,NaN,480
21-12-2020,North,Men's Clothing,NaN,135
02-10-2020,East,Men's Clothing,23,72
14-04-2020,North,Women's Clothing,4,468
15-01-2020,East,Women's Clothing,32,420
26-05-2020,North,Women's Clothing,26,240
19-12-2020,South,Men's Clothing,16,864
11-04-2020,East,Women's Clothing,12,930
21-06-2020,North,Women's Clothing,23,528
30-09-2020,North,Men's Clothing,NaN,308
26-10-2020,North,Women's Clothing,33,132
29-08-2020,West,Women's Clothing,19,126
